Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
3	Node11	0	dev=net(0)	InInterests	0	0
3	Node11	0	dev=net(0)	OutInterests	1	0.0683594
3	Node11	0	dev=net(0)	DropInterests	0	0
3	Node11	0	dev=net(0)	InNacks	0	0
3	Node11	0	dev=net(0)	OutNacks	0	0
3	Node11	0	dev=net(0)	DropNacks	0	0
3	Node11	0	dev=net(0)	InData	0	0
3	Node11	0	dev=net(0)	OutData	0	0
3	Node11	0	dev=net(0)	DropData	0	0
3	Node11	2	dev=local(2)	InInterests	1	0
3	Node11	2	dev=local(2)	OutInterests	0	0
3	Node11	2	dev=local(2)	DropInterests	0	0
3	Node11	2	dev=local(2)	InNacks	0	0
3	Node11	2	dev=local(2)	OutNacks	0	0
3	Node11	2	dev=local(2)	DropNacks	0	0
3	Node11	2	dev=local(2)	InData	0	0
3	Node11	2	dev=local(2)	OutData	0	0
3	Node11	2	dev=local(2)	DropData	0	0
3	Node12	0	dev=net(0)	InInterests	1	0
3	Node12	0	dev=net(0)	OutInterests	0	0
3	Node12	0	dev=net(0)	DropInterests	0	0
3	Node12	0	dev=net(0)	InNacks	0	0
3	Node12	0	dev=net(0)	OutNacks	0	0
3	Node12	0	dev=net(0)	DropNacks	0	0
3	Node12	0	dev=net(0)	InData	0	0
3	Node12	0	dev=net(0)	OutData	0	0
3	Node12	0	dev=net(0)	DropData	0	0
3	Node12	2	dev=net(2)	InInterests	0	0
3	Node12	2	dev=net(2)	OutInterests	1	0.0683594
3	Node12	2	dev=net(2)	DropInterests	0	0
3	Node12	2	dev=net(2)	InNacks	0	0
3	Node12	2	dev=net(2)	OutNacks	0	0
3	Node12	2	dev=net(2)	DropNacks	0	0
3	Node12	2	dev=net(2)	InData	0	0
3	Node12	2	dev=net(2)	OutData	0	0
3	Node12	2	dev=net(2)	DropData	0	0
3	Node21	0	dev=net(0)	InInterests	1	0
3	Node21	0	dev=net(0)	OutInterests	1	0.0683594
3	Node21	0	dev=net(0)	DropInterests	1	0
3	Node21	0	dev=net(0)	InNacks	0	0
3	Node21	0	dev=net(0)	OutNacks	0	0
3	Node21	0	dev=net(0)	DropNacks	0	0
3	Node21	0	dev=net(0)	InData	0	0
3	Node21	0	dev=net(0)	OutData	0	0
3	Node21	0	dev=net(0)	DropData	0	0
3	Node21	1	dev=net(1)	InInterests	1	0
3	Node21	1	dev=net(1)	OutInterests	0	0
3	Node21	1	dev=net(1)	DropInterests	0	0
3	Node21	1	dev=net(1)	InNacks	0	0
3	Node21	1	dev=net(1)	OutNacks	0	0
3	Node21	1	dev=net(1)	DropNacks	0	0
3	Node21	1	dev=net(1)	InData	0	0
3	Node21	1	dev=net(1)	OutData	0	0
3	Node21	1	dev=net(1)	DropData	0	0
3	Node22	0	dev=net(0)	InInterests	1	0
3	Node22	0	dev=net(0)	OutInterests	1	0.0683594
3	Node22	0	dev=net(0)	DropInterests	1	0
3	Node22	0	dev=net(0)	InNacks	0	0
3	Node22	0	dev=net(0)	OutNacks	0	0
