Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
4	Node11	0	dev=net(0)	InInterests	0	0
4	Node11	0	dev=net(0)	OutInterests	1	0.0683594
4	Node11	0	dev=net(0)	DropInterests	0	0
4	Node11	0	dev=net(0)	InNacks	0	0
4	Node11	0	dev=net(0)	OutNacks	0	0
4	Node11	0	dev=net(0)	DropNacks	0	0
4	Node11	0	dev=net(0)	InData	0	0
4	Node11	0	dev=net(0)	OutData	0	0
4	Node11	0	dev=net(0)	DropData	0	0
4	Node11	2	dev=local(2)	InInterests	1	0
4	Node11	2	dev=local(2)	OutInterests	0	0
4	Node11	2	dev=local(2)	DropInterests	0	0
4	Node11	2	dev=local(2)	InNacks	0	0
4	Node11	2	dev=local(2)	OutNacks	0	0
4	Node11	2	dev=local(2)	DropNacks	0	0
4	Node11	2	dev=local(2)	InData	0	0
4	Node11	2	dev=local(2)	OutData	0	0
4	Node11	2	dev=local(2)	DropData	0	0
4	Node12	0	dev=net(0)	InInterests	1	0
4	Node12	0	dev=net(0)	OutInterests	0	0
4	Node12	0	dev=net(0)	DropInterests	0	0
4	Node12	0	dev=net(0)	InNacks	0	0
4	Node12	0	dev=net(0)	OutNacks	0	0
4	Node12	0	dev=net(0)	DropNacks	0	0
4	Node12	0	dev=net(0)	InData	0	0
4	Node12	0	dev=net(0)	OutData	0	0
4	Node12	0	dev=net(0)	DropData	0	0
4	Node12	2	dev=net(2)	InInterests	0	0
4	Node12	2	dev=net(2)	OutInterests	1	0.0683594
4	Node12	2	dev=net(2)	DropInterests	0	0
4	Node12	2	dev=net(2)	InNacks	0	0
4	Node12	2	dev=net(2)	OutNacks	0	0
4	Node12	2	dev=net(2)	DropNacks	0	0
4	Node12	2	dev=net(2)	InData	0	0
4	Node12	2	dev=net(2)	OutData	0	0
4	Node12	2	dev=net(2)	DropData	0	0
4	Node21	0	dev=net(0)	InInterests	1	0
4	Node21	0	dev=net(0)	OutInterests	1	0.0683594
4	Node21	0	dev=net(0)	DropInterests	1	0
4	Node21	0	dev=net(0)	InNacks	0	0
4	Node21	0	dev=net(0)	OutNacks	0	0
4	Node21	0	dev=net(0)	DropNacks	0	0
4	Node21	0	dev=net(0)	InData	0	0
4	Node21	0	dev=net(0)	OutData	0	0
4	Node21	0	dev=net(0)	DropData	0	0
4	Node21	1	dev=net(1)	InInterests	1	0
4	Node21	1	dev=net(1)	OutInterests	0	0
4	Node21	1	dev=net(1)	DropInterests	0	0
4	Node21	1	dev=net(1)	InNacks	0	0
4	Node21	1	dev=net(1)	OutNacks	0	0
4	Node21	1	dev=net(1)	DropNacks	0	0
4	Node21	1	dev=net(1)	InData	0	0
4	Node21	1	dev=net(1)	OutData	0	0
4	Node21	1	dev=net(1)	DropData	0	0
4	Node22	0	dev=net(0)	InInterests	1	0
4	Node22	0	dev=net(0)	OutInterests	1	0.0683594
4	Node22	0	dev=net(0)	DropInterests	1	0
4	Node22	0	dev=net(0)	InNacks	0	0
4	Node22	0	dev=net(0)	OutNacks	0	0
4	Node22	0	dev=net(0)	DropNacks	0	0
4	Node22	0	dev=net(0)	InData	0	0
4	Node22	0	dev=net(0)	OutData	0	0
4	Node22	0	dev=net(0)	DropData	0	0
4	Node22	1	dev=net(1)	InInterests	1	0
4	Node22	1	dev=net(1)	OutInterests	0	0
4	Node22	1	dev=net(1)	DropInterests	0	0
4	Node22	1	dev=net(1)	InNacks	0	0
4	Node22	1	dev=net(1)	OutNacks	0	0
4	Node22	1	dev=net(1)	DropNacks	0	0
4	Node22	1	dev=net(1)	InData	0	0
4	Node22	1	dev=net(1)	OutData	0	0
4	Node22	1	dev=net(1)	DropData	0	0
4	Node22	2	dev=local(2)	InInterests	0	0
4	Node22	2	dev=local(2)	OutInterests	1	0
4	Node22	2	dev=local(2)	DropInterests	0	0
4	Node22	2	dev=local(2)	InNacks	0	0
4	Node22	2	dev=local(2)	OutNacks	0	0
4	Node22	2	dev=local(2)	DropNacks	0	0
4	Node22	2	dev=local(2)	InData	0	0
4	Node22	2	dev=local(2)	OutData	0	0
4	Node22	2	dev=local(2)	DropData	0	0
4	Node23	0	dev=net(0)	InInterests	0	0
4	Node23	0	dev=net(0)	OutInterests	1	0.0683594
4	Node23	0	dev=net(0)	DropInterests	0	0
4	Node23	0	dev=net(0)	InNacks	0	0
4	Node23	0	dev=net(0)	OutNacks	0	0
4	Node23	0	dev=net(0)	DropNacks	0	0
4	Node23	0	dev=net(0)	InData	0	0
4	Node23	0	dev=net(0)	OutData	0	0
4	Node23	0	dev=net(0)	DropData	0	0
4	Node23	1	dev=net(1)	InInterests	0	0
4	Node23	1	dev=net(1)	OutInterests	1	0.0683594
4	Node23	1	dev=net(1)	DropInterests	0	0
4	Node23	1	dev=net(1)	InNacks	0	0
4	Node23	1	dev=net(1)	OutNacks	0	0
4	Node23	1	dev=net(1)	DropNacks	0	0
4	Node23	1	dev=net(1)	InData	0	0
4	Node23	1	dev=net(1)	OutData	0	0
4	Node23	1	dev=net(1)	DropData	0	0
4	Node23	2	dev=net(2)	InInterests	1	0
4	Node23	2	dev=net(2)	OutInterests	0	0
4	Node23	2	dev=net(2)	DropInterests	0	0
4	Node23	2	dev=net(2)	InNacks	0	0
4	Node23	2	dev=net(2)	OutNacks	0	0
4	Node23	2	dev=net(2)	DropNacks	0	0
4	Node23	2	dev=net(2)	InData	0	0
4	Node23	2	dev=net(2)	OutData	0	0
4	Node23	2	dev=net(2)	DropData	0	0
4	Node24	0	dev=net(0)	InInterests	0	0
4	Node24	0	dev=net(0)	OutInterests	1	0.0683594
4	Node24	0	dev=net(0)	DropInterests	0	0
4	Node24	0	dev=net(0)	InNacks	0	0
4	Node24	0	dev=net(0)	OutNacks	0	0
4	Node24	0	dev=net(0)	DropNacks	0	0
4	Node24	0	dev=net(0)	InData	0	0
4	Node24	0	dev=net(0)	OutData	0	0
4	Node24	0	dev=net(0)	DropData	0	0
4	Node24	1	dev=net(1)	InInterests	1	0
4	Node24	1	dev=net(1)	OutInterests	0	0
4	Node24	1	dev=net(1)	DropInterests	0	0
4	Node24	1	dev=net(1)	InNacks	0	0
4	Node24	1	dev=net(1)	OutNacks	0	0
4	Node24	1	dev=net(1)	DropNacks	0	0
4	Node24	1	dev=net(1)	InData	0	0
4	Node24	1	dev=net(1)	OutData	0	0
4	Node24	1	dev=net(1)	DropData	0	0
5	Node11	0	dev=net(0)	InInterests	1	0
5	Node11	0	dev=net(0)	OutInterests	1	0.0683594
5	Node11	0	dev=net(0)	DropInterests	0	0
5	Node11	0	dev=net(0)	InNacks	0	0
5	Node11	0	dev=net(0)	OutNacks	0	0
5	Node11	0	dev=net(0)	DropNacks	0	0
5	Node11	0	dev=net(0)	InData	0	0
5	Node11	0	dev=net(0)	OutData	1	0.0800781
5	Node11	0	dev=net(0)	DropData	0	0
5	Node11	2	dev=local(2)	InInterests	1	0
5	Node11	2	dev=local(2)	OutInterests	1	0
5	Node11	2	dev=local(2)	DropInterests	0	0
5	Node11	2	dev=local(2)	InNacks	0	0
5	Node11	2	dev=local(2)	OutNacks	0	0
5	Node11	2	dev=local(2)	DropNacks	0	0
5	Node11	2	dev=local(2)	InData	1	0
5	Node11	2	dev=local(2)	OutData	0	0
5	Node11	2	dev=local(2)	DropData	0	0
5	Node11	-1	all	SatisfiedInterests	1	0
5	Node11	-1	all	TimedOutInterests	0	0
5	Node12	0	dev=net(0)	InInterests	1	0
5	Node12	0	dev=net(0)	OutInterests	1	0.0683594
5	Node12	0	dev=net(0)	DropInterests	0	0
5	Node12	0	dev=net(0)	InNacks	0	0
5	Node12	0	dev=net(0)	OutNacks	0	0
5	Node12	0	dev=net(0)	DropNacks	0	0
5	Node12	0	dev=net(0)	InData	1	0
5	Node12	0	dev=net(0)	OutData	0	0
5	Node12	0	dev=net(0)	DropData	0	0
5	Node12	2	dev=net(2)	InInterests	1	0
5	Node12	2	dev=net(2)	OutInterests	1	0.0683594
5	Node12	2	dev=net(2)	DropInterests	0	0
5	Node12	2	dev=net(2)	InNacks	0	0
5	Node12	2	dev=net(2)	OutNacks	0	0
5	Node12	2	dev=net(2)	DropNacks	0	0
5	Node12	2	dev=net(2)	InData	0	0
5	Node12	2	dev=net(2)	OutData	1	0.0800781
5	Node12	2	dev=net(2)	DropData	0	0
5	Node12	-1	all	SatisfiedInterests	1	0
5	Node12	-1	all	TimedOutInterests	0	0
5	Node21	0	dev=net(0)	InInterests	2	0
5	Node21	0	dev=net(0)	OutInterests	1	0.0683594
5	Node21	0	dev=net(0)	DropInterests	1	0
5	Node21	0	dev=net(0)	InNacks	0	0
5	Node21	0	dev=net(0)	OutNacks	0	0
5	Node21	0	dev=net(0)	DropNacks	0	0
5	Node21	0	dev=net(0)	InData	0	0
5	Node21	0	dev=net(0)	OutData	1	0.0800781
5	Node21	0	dev=net(0)	DropData	0	0
5	Node21	1	dev=net(1)	InInterests	2	0
5	Node21	1	dev=net(1)	OutInterests	1	0.0683594
5	Node21	1	dev=net(1)	DropInterests	1	0
5	Node21	1	dev=net(1)	InNacks	0	0
5	Node21	1	dev=net(1)	OutNacks	0	0
5	Node21	1	dev=net(1)	DropNacks	0	0
5	Node21	1	dev=net(1)	InData	1	0
5	Node21	1	dev=net(1)	OutData	0	0
5	Node21	1	dev=net(1)	DropData	0	0
5	Node21	-1	all	SatisfiedInterests	1	0
5	Node21	-1	all	TimedOutInterests	0	0
5	Node22	0	dev=net(0)	InInterests	1	0
5	Node22	0	dev=net(0)	OutInterests	2	0.136719
5	Node22	0	dev=net(0)	DropInterests	1	0
5	Node22	0	dev=net(0)	InNacks	0	0
5	Node22	0	dev=net(0)	OutNacks	0	0
5	Node22	0	dev=net(0)	DropNacks	0	0
5	Node22	0	dev=net(0)	InData	1	0
5	Node22	0	dev=net(0)	OutData	0	0
5	Node22	0	dev=net(0)	DropData	0	0
5	Node22	1	dev=net(1)	InInterests	1	0
5	Node22	1	dev=net(1)	OutInterests	1	0.0683594
5	Node22	1	dev=net(1)	DropInterests	0	0
5	Node22	1	dev=net(1)	InNacks	0	0
5	Node22	1	dev=net(1)	OutNacks	0	0
5	Node22	1	dev=net(1)	DropNacks	0	0
5	Node22	1	dev=net(1)	InData	1	0
5	Node22	1	dev=net(1)	OutData	0	0
5	Node22	1	dev=net(1)	DropData	0	0
5	Node22	2	dev=local(2)	InInterests	1	0
5	Node22	2	dev=local(2)	OutInterests	1	0
5	Node22	2	dev=local(2)	DropInterests	0	0
5	Node22	2	dev=local(2)	InNacks	0	0
5	Node22	2	dev=local(2)	OutNacks	0	0
5	Node22	2	dev=local(2)	DropNacks	0	0
5	Node22	2	dev=local(2)	InData	0	0
5	Node22	2	dev=local(2)	OutData	1	0
5	Node22	2	dev=local(2)	DropData	0	0
5	Node22	-1	all	SatisfiedInterests	1	0
5	Node22	-1	all	TimedOutInterests	0	0
5	Node23	0	dev=net(0)	InInterests	1	0
5	Node23	0	dev=net(0)	OutInterests	2	0.136719
5	Node23	0	dev=net(0)	DropInterests	1	0
5	Node23	0	dev=net(0)	InNacks	0	0
5	Node23	0	dev=net(0)	OutNacks	0	0
5	Node23	0	dev=net(0)	DropNacks	0	0
5	Node23	0	dev=net(0)	InData	0	0
5	Node23	0	dev=net(0)	OutData	1	0.0800781
5	Node23	0	dev=net(0)	DropData	0	0
5	Node23	1	dev=net(1)	InInterests	1	0
5	Node23	1	dev=net(1)	OutInterests	1	0.0683594
5	Node23	1	dev=net(1)	DropInterests	0	0
5	Node23	1	dev=net(1)	InNacks	0	0
5	Node23	1	dev=net(1)	OutNacks	0	0
5	Node23	1	dev=net(1)	DropNacks	0	0
5	Node23	1	dev=net(1)	InData	0	0
5	Node23	1	dev=net(1)	OutData	1	0.0800781
5	Node23	1	dev=net(1)	DropData	0	0
5	Node23	2	dev=net(2)	InInterests	1	0
5	Node23	2	dev=net(2)	OutInterests	1	0.0683594
5	Node23	2	dev=net(2)	DropInterests	0	0
5	Node23	2	dev=net(2)	InNacks	0	0
5	Node23	2	dev=net(2)	OutNacks	0	0
5	Node23	2	dev=net(2)	DropNacks	0	0
5	Node23	2	dev=net(2)	InData	1	0
5	Node23	2	dev=net(2)	OutData	0	0
5	Node23	2	dev=net(2)	DropData	0	0
5	Node23	-1	all	SatisfiedInterests	1	0
5	Node23	-1	all	TimedOutInterests	0	0
5	Node24	0	dev=net(0)	InInterests	1	0
5	Node24	0	dev=net(0)	OutInterests	1	0.0683594
5	Node24	0	dev=net(0)	DropInterests	0	0
5	Node24	0	dev=net(0)	InNacks	0	0
5	Node24	0	dev=net(0)	OutNacks	0	0
5	Node24	0	dev=net(0)	DropNacks	0	0
5	Node24	0	dev=net(0)	InData	0	0
5	Node24	0	dev=net(0)	OutData	1	0.0800781
5	Node24	0	dev=net(0)	DropData	0	0
5	Node24	1	dev=net(1)	InInterests	1	0
5	Node24	1	dev=net(1)	OutInterests	1	0.0683594
5	Node24	1	dev=net(1)	DropInterests	0	0
5	Node24	1	dev=net(1)	InNacks	0	0
5	Node24	1	dev=net(1)	OutNacks	0	0
5	Node24	1	dev=net(1)	DropNacks	0	0
5	Node24	1	dev=net(1)	InData	1	0
5	Node24	1	dev=net(1)	OutData	0	0
5	Node24	1	dev=net(1)	DropData	0	0
5	Node24	2	dev=local(2)	InInterests	0	0
5	Node24	2	dev=local(2)	OutInterests	1	0
5	Node24	2	dev=local(2)	DropInterests	0	0
5	Node24	2	dev=local(2)	InNacks	0	0
5	Node24	2	dev=local(2)	OutNacks	0	0
5	Node24	2	dev=local(2)	DropNacks	0	0
5	Node24	2	dev=local(2)	InData	0	0
5	Node24	2	dev=local(2)	OutData	0	0
5	Node24	2	dev=local(2)	DropData	0	0
5	Node24	-1	all	SatisfiedInterests	1	0
5	Node24	-1	all	TimedOutInterests	0	0
6	Node11	0	dev=net(0)	InInterests	2	0
6	Node11	0	dev=net(0)	OutInterests	3	0.203125
6	Node11	0	dev=net(0)	DropInterests	0	0
6	Node11	0	dev=net(0)	InNacks	0	0
6	Node11	0	dev=net(0)	OutNacks	0	0
6	Node11	0	dev=net(0)	DropNacks	0	0
6	Node11	0	dev=net(0)	InData	0	0
6	Node11	0	dev=net(0)	OutData	2	0.160156
6	Node11	0	dev=net(0)	DropData	0	0
6	Node11	2	dev=local(2)	InInterests	3	0
6	Node11	2	dev=local(2)	OutInterests	2	0
6	Node11	2	dev=local(2)	DropInterests	0	0
6	Node11	2	dev=local(2)	InNacks	0	0
6	Node11	2	dev=local(2)	OutNacks	0	0
6	Node11	2	dev=local(2)	DropNacks	0	0
6	Node11	2	dev=local(2)	InData	2	0
6	Node11	2	dev=local(2)	OutData	0	0
6	Node11	2	dev=local(2)	DropData	0	0
6	Node11	-1	all	SatisfiedInterests	2	0
6	Node11	-1	all	TimedOutInterests	0	0
6	Node12	0	dev=net(0)	InInterests	2	0
6	Node12	0	dev=net(0)	OutInterests	2	0.136719
6	Node12	0	dev=net(0)	DropInterests	0	0
6	Node12	0	dev=net(0)	InNacks	0	0
6	Node12	0	dev=net(0)	OutNacks	0	0
6	Node12	0	dev=net(0)	DropNacks	0	0
6	Node12	0	dev=net(0)	InData	2	0
6	Node12	0	dev=net(0)	OutData	0	0
6	Node12	0	dev=net(0)	DropData	0	0
6	Node12	2	dev=net(2)	InInterests	2	0
6	Node12	2	dev=net(2)	OutInterests	2	0.134766
6	Node12	2	dev=net(2)	DropInterests	0	0
6	Node12	2	dev=net(2)	InNacks	0	0
6	Node12	2	dev=net(2)	OutNacks	0	0
6	Node12	2	dev=net(2)	DropNacks	0	0
6	Node12	2	dev=net(2)	InData	0	0
6	Node12	2	dev=net(2)	OutData	2	0.160156
6	Node12	2	dev=net(2)	DropData	0	0
6	Node12	-1	all	SatisfiedInterests	2	0
6	Node12	-1	all	TimedOutInterests	0	0
6	Node21	0	dev=net(0)	InInterests	4	0
6	Node21	0	dev=net(0)	OutInterests	2	0.134766
6	Node21	0	dev=net(0)	DropInterests	2	0
6	Node21	0	dev=net(0)	InNacks	0	0
6	Node21	0	dev=net(0)	OutNacks	0	0
6	Node21	0	dev=net(0)	DropNacks	0	0
6	Node21	0	dev=net(0)	InData	0	0
6	Node21	0	dev=net(0)	OutData	2	0.160156
6	Node21	0	dev=net(0)	DropData	0	0
6	Node21	1	dev=net(1)	InInterests	4	0
6	Node21	1	dev=net(1)	OutInterests	2	0.136719
6	Node21	1	dev=net(1)	DropInterests	2	0
6	Node21	1	dev=net(1)	InNacks	0	0
6	Node21	1	dev=net(1)	OutNacks	0	0
6	Node21	1	dev=net(1)	DropNacks	0	0
6	Node21	1	dev=net(1)	InData	2	0
6	Node21	1	dev=net(1)	OutData	0	0
6	Node21	1	dev=net(1)	DropData	0	0
6	Node21	-1	all	SatisfiedInterests	2	0
6	Node21	-1	all	TimedOutInterests	0	0
6	Node22	0	dev=net(0)	InInterests	2	0
6	Node22	0	dev=net(0)	OutInterests	4	0.271484
6	Node22	0	dev=net(0)	DropInterests	2	0
6	Node22	0	dev=net(0)	InNacks	0	0
6	Node22	0	dev=net(0)	OutNacks	0	0
6	Node22	0	dev=net(0)	DropNacks	0	0
6	Node22	0	dev=net(0)	InData	2	0
6	Node22	0	dev=net(0)	OutData	0	0
6	Node22	0	dev=net(0)	DropData	0	0
6	Node22	1	dev=net(1)	InInterests	2	0
6	Node22	1	dev=net(1)	OutInterests	2	0.136719
6	Node22	1	dev=net(1)	DropInterests	0	0
6	Node22	1	dev=net(1)	InNacks	0	0
6	Node22	1	dev=net(1)	OutNacks	0	0
6	Node22	1	dev=net(1)	DropNacks	0	0
6	Node22	1	dev=net(1)	InData	2	0
6	Node22	1	dev=net(1)	OutData	0	0
6	Node22	1	dev=net(1)	DropData	0	0
6	Node22	2	dev=local(2)	InInterests	2	0
6	Node22	2	dev=local(2)	OutInterests	2	0
6	Node22	2	dev=local(2)	DropInterests	0	0
6	Node22	2	dev=local(2)	InNacks	0	0
6	Node22	2	dev=local(2)	OutNacks	0	0
6	Node22	2	dev=local(2)	DropNacks	0	0
6	Node22	2	dev=local(2)	InData	0	0
6	Node22	2	dev=local(2)	OutData	2	0
6	Node22	2	dev=local(2)	DropData	0	0
6	Node22	-1	all	SatisfiedInterests	2	0
6	Node22	-1	all	TimedOutInterests	0	0
6	Node23	0	dev=net(0)	InInterests	2	0
6	Node23	0	dev=net(0)	OutInterests	4	0.271484
6	Node23	0	dev=net(0)	DropInterests	2	0
6	Node23	0	dev=net(0)	InNacks	0	0
6	Node23	0	dev=net(0)	OutNacks	0	0
6	Node23	0	dev=net(0)	DropNacks	0	0
6	Node23	0	dev=net(0)	InData	0	0
6	Node23	0	dev=net(0)	OutData	2	0.160156
6	Node23	0	dev=net(0)	DropData	0	0
6	Node23	1	dev=net(1)	InInterests	2	0
6	Node23	1	dev=net(1)	OutInterests	2	0.134766
6	Node23	1	dev=net(1)	DropInterests	0	0
6	Node23	1	dev=net(1)	InNacks	0	0
6	Node23	1	dev=net(1)	OutNacks	0	0
6	Node23	1	dev=net(1)	DropNacks	0	0
6	Node23	1	dev=net(1)	InData	0	0
6	Node23	1	dev=net(1)	OutData	2	0.160156
6	Node23	1	dev=net(1)	DropData	0	0
6	Node23	2	dev=net(2)	InInterests	2	0
6	Node23	2	dev=net(2)	OutInterests	2	0.136719
6	Node23	2	dev=net(2)	DropInterests	0	0
6	Node23	2	dev=net(2)	InNacks	0	0
6	Node23	2	dev=net(2)	OutNacks	0	0
6	Node23	2	dev=net(2)	DropNacks	0	0
6	Node23	2	dev=net(2)	InData	2	0
6	Node23	2	dev=net(2)	OutData	0	0
6	Node23	2	dev=net(2)	DropData	0	0
6	Node23	-1	all	SatisfiedInterests	2	0
6	Node23	-1	all	TimedOutInterests	0	0
6	Node24	0	dev=net(0)	InInterests	2	0
6	Node24	0	dev=net(0)	OutInterests	2	0.134766
6	Node24	0	dev=net(0)	DropInterests	0	0
6	Node24	0	dev=net(0)	InNacks	0	0
6	Node24	0	dev=net(0)	OutNacks	0	0
6	Node24	0	dev=net(0)	DropNacks	0	0
6	Node24	0	dev=net(0)	InData	0	0
6	Node24	0	dev=net(0)	OutData	2	0.160156
6	Node24	0	dev=net(0)	DropData	0	0
6	Node24	1	dev=net(1)	InInterests	2	0
6	Node24	1	dev=net(1)	OutInterests	2	0.136719
6	Node24	1	dev=net(1)	DropInterests	0	0
6	Node24	1	dev=net(1)	InNacks	0	0
6	Node24	1	dev=net(1)	OutNacks	0	0
